No,Provinsi,Masker,Jarak,Kepatuhan
1,Aceh,"80,5","84,8","82,65"
2,Bali,"98,1","95,5","96,8"
3,Banten,"85,9","81,7","83,8"
4,Bangka Belitung,"62,1","67,5","64,8"
5,Bengkulu,"28,6","28,6","28,6"
6,DI Yogyakarta,"90,2","88,4","89,3"
7,DKI Jakarta,"76,7","74,7","75,7"
8,Jambi,"53,8","53,2","53,5"
9,Jawa Barat,"89,9","88,4","89,15"
10,Jawa Tengah,"89,3","85,4","87,35"
11,Jawa Timur,"88,3","81,7",85
12,Kalimantan Barat,96,96,96
13,Kalimantan Timur,"85,3","82,2","83,75"
14,Kalimantan Tengah,"81,8","84,5","83,15"
15,Kalimantan Selatan,"79,4","76,9","78,15"
16,Kalimantan Utara,"79,7","66,7","73,2"
17,Kepulauan Riau,95,90,"92,5"
18,Nusa Tenggara Barat,"74,3","79,3","76,8"
19,Sumatera Selatan,"78,7","85,7","82,2"
20,Sumatera Barat,"67,6","69,7","68,65"
21,Sulawesi Utara,"66,5","65,7","66,1"
22,Sumatera Utara,"77,7","81,3","79,5"
23,Sulawesi Tenggara,"76,1","78,7","77,4"
24,Sulawesi Selatan,83,"88,1","85,55"
25,Sulawesi Tengah,"94,7","98,9","96,8"
26,Lampung,"67,2","89,6","78,4"
27,Riau,"82,5","68,2","75,35"
28,Maluku Utara,"16,7","5,6","11,15"
29,Maluku,48,"55,4","51,7"
30,Papua Barat,"96,2","96,2","96,2"
31,Papua,"74,6","77,4",76
32,Sulawesi Barat,"97,2","98,1","97,65"
33,Nusa Tenggara Timur,"86,5","57,3","71,9"
34,Gorontalo,70,50,60